#,Open position transaction hash,Borrow transaction / UTxO evidence,Minswap market swap transaction hash,Collateral lock transaction / UTxO,Close position transaction hash,Repayment / settlement transaction hash,PositionNFT
1,0e22ee1714f9cadb1d8cfd638286b4241e5ffe668fccdaf1827b5a04f2e0df78,0e22ee1714f9cadb1d8cfd638286b4241e5ffe668fccdaf1827b5a04f2e0df78#1,9715cb193eb36c51f31d8acb7a431d43668710f27c527e088a03f9c282888256,0e22ee1714f9cadb1d8cfd638286b4241e5ffe668fccdaf1827b5a04f2e0df78#1,6632732a85343b189ec288580ccbed9acff376a9eeebd9717087724792e7934d,53053d63f4f15ede5f1f3fd2ed6dace5673455593726b8f24659f4a0b66d72bb,3f06b1623aaec0db2231d322579373bbbc3b3cc350bd4811974c6470
2,40b6adc4a6e0a388090b0f7e856684786dbaa555a60fdf291d419d500adc3a90,40b6adc4a6e0a388090b0f7e856684786dbaa555a60fdf291d419d500adc3a90#1,55137c3da9cebcbc35226365ec95552cc1929c6d4a4b0cda6af1a17226ab9e77,40b6adc4a6e0a388090b0f7e856684786dbaa555a60fdf291d419d500adc3a90#1,e541ab8613434a2a669467f5611a3224a5ffa2687788b0850ccddeeb883b9cf5,c5df34a563f7bafff55036f2e67fd5af1b31c3ceb437df05de13359efac2ce34,496206d04f4e75011f6b622e5fcd337091b9a819d2b53df17f0dff0f
3,ee68d320fb1403b05999163e8fad3b161121807917f2b97b746c026551345d4e,ee68d320fb1403b05999163e8fad3b161121807917f2b97b746c026551345d4e#1,3dae975d453a8fdb73ff7ab2175fcb2a03b2389f3cd4c9d16ad13ebb3ae6b1c2,ee68d320fb1403b05999163e8fad3b161121807917f2b97b746c026551345d4e#1,905b029ac4a3172bf02123714f2224aef22b7fbb119ad121a227d7644e19fa00,a388bc2638ee22ef459e6b1fb456e6715bfffc1d251b5f2228ad86c284c79220,4d0df8e59a9f9a90bb002c054e9571b9e613dcd696ae7b5e542e8fcd
4,7a393528bdf33d1e2b0941cafae49dc80316a14e941da7fe43af5fbc67b2f658,7a393528bdf33d1e2b0941cafae49dc80316a14e941da7fe43af5fbc67b2f658#1,8eb75fde2dbbbf85d4de8f5bfc1ae3aff7b7f43f165ca30dc16847102d9d75d0,7a393528bdf33d1e2b0941cafae49dc80316a14e941da7fe43af5fbc67b2f658#1,1a3a2546ad58ac9ec464ae2a88dce5b51e4b72e429a8370c16a3e3f481df941c,d259d5007c0fa99945837bf5449c3e206f0c3a0d2cb0e181184da967427fd32a,68a28a5025939049325a108ac54efc97738e0a034d9a908ce570753a
5,56d3b9fe0e04354b2b2273063b80477ec5c9987c47d84204b7d4cc83487b64b4,56d3b9fe0e04354b2b2273063b80477ec5c9987c47d84204b7d4cc83487b64b4#1,33f533da9c97db0df84f65081ab3e0ac581afbd024b567389534b845358cab45,8d15b0dcd153ded07d21882bf8040034b03580dc2079b32e52b83586a6dc7dff#1,8d15b0dcd153ded07d21882bf8040034b03580dc2079b32e52b83586a6dc7dff,b8726f07eabb0dcb578eede67ed6b54bd4bad0bc6a7bec2aad340c6a2af5ca51,7444e7f13c5dd1980504c11ac5579d746fc9ce0a775c2f102696880e
6,633cf16ee26b19a2507d09b35fe419de47da2ab9e070941aebb830504f6069f0,633cf16ee26b19a2507d09b35fe419de47da2ab9e070941aebb830504f6069f0#1,65320e9c50e39cf0016b7201310230ae4d8fe8338facca02342cef22c6a1a6a2,5a84b48e49bf64752cdec346c1c2a6fc8090801eeba9a6ac8c69b23ef8cbe672#1,5a84b48e49bf64752cdec346c1c2a6fc8090801eeba9a6ac8c69b23ef8cbe672,677c8f3fe0193385961caf41fe6ed040943fa8363a3d7c8aa213f8aed19df5a7,93666b43a831795d7807df20fc90764091a9e771158bdf50cff88d82
7,90a588795ffe9a0f33a3f1f39893b45c64cde9d248a6eed568ebb0b06a991611,90a588795ffe9a0f33a3f1f39893b45c64cde9d248a6eed568ebb0b06a991611#1,94129ad6d74d498c805bca979adb2aa6dab06f9270e7f8680835e678f1ce4fcd,90a588795ffe9a0f33a3f1f39893b45c64cde9d248a6eed568ebb0b06a991611#1,725555990d942c93acceaf4a0b7ad2f31253f97b693c3f12fa89d918d2aa89eb,9d51d50983ce20499ea96f08c3180d968469106814c4c6b20032958aaca7d3e6,9bde96be06dfd3ad9b6627adfd6b497bf38183535feb47ea43c40e59
